pick_index	event_index	gamma_score
5660	19	0.0013219283855448328
7007	19	0.0011215102001642184
12076	19	0.003976516144047755
15512	19	0.001439572811571153
20145	19	0.0010093723321825854
25263	19	0.007016792351748129
26778	19	0.010065544330158795
28301	19	0.0010233159492288237
29939	19	0.0007843469602977239
46255	19	0.00018033423013314484
48571	19	0.0011205296108321024
51760	19	0.0007530938581734131
54418	19	0.006038882080254141
56757	19	0.0006706391887029215
57914	19	0.0016001994950427354
65562	19	0.0013923328890700522
67411	19	0.0180248093009465
72996	19	0.015270140244629356
74855	19	0.0031348190268700687
77820	19	0.0027619494981795415
79158	19	0.008933532670150308
80239	19	0.0003610194636373915
86113	19	0.0007368917154993344
87015	19	0.013427605678722724
6	20	0.00042763893702545136
1326	20	0.01033493440936176
4294	20	0.0008197230351037491
5662	20	0.00015456246291875093
11093	20	0.0013219283855448328
13893	20	0.0011215102001642184
31663	20	0.003976516144047755
36462	20	0.001439572811571153
77823	20	0.0010093723321825854
85287	20	0.007016792351748129
9288	21	0.00042763893702545136
15514	21	0.01033493440936176
21394	21	0.0008197230351037491
28304	21	0.00015456246291875093
29942	21	0.0013219283855448328
57915	21	0.0011215102001642184
65564	21	0.003976516144047755
72997	21	0.001439572811571153
80242	21	0.0010093723321825854
81822	21	0.007016792351748129
88068	21	0.010065544330158795
1329	22	0.00042763893702545136
12077	22	0.01033493440936176
13896	22	0.0008197230351037491
17415	22	0.00015456246291875093
20148	22	0.0013219283855448328
51768	22	0.0011215102001642184
67416	22	0.003976516144047755
85288	22	0.001439572811571153
9	23	0.00042763893702545136
2948	23	0.01033493440936176
4297	23	0.0008197230351037491
5665	23	0.00015456246291875093
7011	23	0.0013219283855448328
25265	23	0.0011215102001642184
26782	23	0.003976516144047755
29944	23	0.001439572811571153
46261	23	0.0010093723321825854
48579	23	0.007016792351748129
72999	23	0.010065544330158795
74859	23	0.0010233159492288237
76528	23	0.0007843469602977239
80245	23	0.00018033423013314484
81823	23	0.0011205296108321024
25267	24	0.00042763893702545136
26784	24	0.01033493440936176
46263	24	0.0008197230351037491
48581	24	0.00015456246291875093
51771	24	0.0013219283855448328
65566	24	0.0011215102001642184
73000	24	0.003976516144047755
80247	24	0.001439572811571153
2758	25	0.014806489737837415
4085	25	0.0010098018134835852
25036	25	0.000946174114597486
26529	25	0.0010334398046194793
28075	25	0.020342331040331972
29645	25	0.01079854385570913
34128	25	0.00137190257757686
36129	25	0.0013486457294744577
51369	25	0.0014381008715422861
53992	25	0.0011393542125978588
56611	25	0.004976216885150831
57701	25	6.522559768445229e-05
72733	25	0.0008313867448570461
74590	25	0.0003048117194650473
77600	25	0.0003122456740948058
79002	25	0.01975518180225774
80049	25	0.000542746033986085
82280	25	0.0004247391784165488
83754	25	1.0347143819811692e-05
2762	26	0.014806489737837415
4090	26	0.0010098018134835852
5481	26	0.000946174114597486
6792	26	0.0010334398046194793
10235	26	0.020342331040331972
10994	26	0.01079854385570913
11967	26	0.00137190257757686
19958	26	0.0013486457294744577
21124	26	0.0014381008715422861
28079	26	0.0011393542125978588
29652	26	0.004976216885150831
31491	26	6.522559768445229e-05
32692	26	0.0008313867448570461
34133	26	0.0003048117194650473
36134	26	0.0003122456740948058
38043	26	0.01975518180225774
38981	26	0.000542746033986085
51380	26	0.0004247391784165488
54001	26	1.0347143819811692e-05
56614	26	0.0014219026581268896
65318	26	0.002636342958765557
67106	26	0.0011522562862929606
72737	26	0.006186484838983397
74595	26	0.0001466869286946698
76349	26	0.0014555679232015949
77605	26	0.0003525774379016353
79006	26	0.002989322515658271
81206	26	9.193503827011396e-05
86870	26	0.0016188593288686023
89607	26	0.0004768896692425879
7935	27	0.001203506695475437
10592	27	0.0035294991836155535
23406	27	0.0011535558257090867
26108	27	0.0006584210872724122
27649	27	0.009602359399888113
29183	27	0.0017383140523659366
31098	27	0.001488404497357024
33661	27	0.00014119794006588345
35541	27	0.0002831709886224993
37624	27	0.0006030639007487527
42255	27	0.00012137896332197148
43367	27	0.0034772900291401266
44458	27	0.0005170876965045438
48076	27	0.0019374512821995452
50596	27	0.0014896858126473764
57354	27	0.0012478634466766465
58794	27	0.0014624380797217584
66578	27	0.0008287529785258488
70339	27	0.00021639063660647967
72096	27	0.000682111472658145
78661	27	0.0010791944728629243
79756	27	0.019342059337312277
80939	27	0.0018760079743166476
85751	27	0.0019848594903654143
86621	27	0.004335034014206897
91848	27	0.0008106920204494079
16523	28	0.001203506695475437
23407	28	0.0035294991836155535
43370	28	0.0011535558257090867
44460	28	0.0006584210872724122
45429	28	0.009602359399888113
61221	28	0.0017383140523659366
70341	28	0.001488404497357024
88712	28	0.00014119794006588345
1002	29	0.001203506695475437
2258	29	0.0035294991836155535
27650	29	0.0011535558257090867
32360	29	0.0006584210872724122
40833	29	0.009602359399888113
42257	29	0.0017383140523659366
50597	29	0.001488404497357024
70342	29	0.00014119794006588345
87619	29	0.0002831709886224993
