time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2023-02-07T02:53:28.620	4.758	36.649	38.088	26591.179	0.686	0.482	0.750	228	49.000
2023-02-07T00:54:51.640	2.914	37.430	37.856	0.000	0.848	0.477	0.234	229	27.199
2023-02-07T00:55:33.634	3.781	37.530	38.013	23818.338	0.635	0.527	0.021	230	35.552
2023-02-07T00:56:01.059	3.745	38.370	38.137	20220.723	0.728	0.533	-0.728	231	25.235
2023-02-07T04:12:05.993	3.467	37.847	37.558	0.000	0.546	0.467	-0.397	232	22.438
2023-02-07T04:12:37.564	3.470	37.429	37.588	23285.310	0.702	0.488	-0.022	233	29.461
2023-02-07T04:13:14.955	3.617	38.553	38.147	383.369	0.602	0.431	0.046	234	37.393
2023-02-07T00:57:19.740	3.197	37.440	37.926	0.000	0.730	0.443	0.063	235	38.620
2023-02-07T04:15:06.895	2.845	37.012	37.362	0.000	0.738	0.575	0.066	236	11.198
2023-02-07T04:16:39.396	4.210	37.617	37.984	29209.736	0.465	0.493	0.013	237	37.939
2023-02-07T11:28:33.918	3.055	37.174	38.593	0.000	0.595	0.446	0.904	238	27.986
2023-02-07T11:29:20.528	2.761	37.228	37.555	0.000	0.644	0.532	-0.022	239	7.869
2023-02-07T11:30:15.986	2.958	37.272	37.585	11010.429	0.779	0.463	0.113	240	33.313
2023-02-07T11:31:37.105	2.580	37.183	37.516	0.000	0.922	0.302	0.011	241	7.243
2023-02-07T11:32:06.251	2.269	37.213	37.530	0.000	0.466	0.365	0.033	242	14.022
2023-02-07T11:32:27.404	2.205	37.301	37.578	557.174	0.584	0.433	0.004	243	9.823
2023-02-07T00:58:48.262	3.116	36.848	37.396	15863.181	0.893	0.472	0.057	244	21.521
2023-02-07T01:00:23.680	3.202	37.161	37.744	0.000	0.620	0.468	-0.046	245	15.504
2023-02-07T02:55:55.355	3.894	38.056	38.195	20892.864	0.577	0.403	-0.010	246	36.193
2023-02-07T02:56:41.186	3.211	37.243	37.505	8633.848	0.543	0.442	0.028	247	18.522
2023-02-07T02:57:50.704	2.482	37.273	37.432	1180.296	0.370	0.591	0.042	248	6.814
2023-02-07T02:59:31.603	2.972	37.017	37.872	31000.000	0.729	0.493	0.090	249	18.496
2023-02-07T03:00:27.061	3.618	38.225	38.267	9259.373	0.484	0.479	-0.834	250	39.428
2023-02-07T03:02:53.076	4.356	37.063	37.419	31000.000	0.611	0.545	0.097	251	15.333
2023-02-07T03:02:55.394	4.210	37.092	37.279	0.000	0.600	0.398	0.049	252	24.823
2023-02-07T03:05:35.715	3.409	37.522	38.025	502.245	0.763	0.443	-0.129	253	45.577
2023-02-07T03:07:27.287	3.089	37.058	37.424	31000.000	0.449	0.460	-0.076	254	8.633
2023-02-07T03:08:46.775	4.183	36.678	37.989	9567.568	0.435	0.459	-0.270	255	11.984
2023-02-07T03:08:55.640	4.822	37.625	37.985	31000.000	0.433	0.470	0.156	256	32.016
2023-02-07T03:11:44.833	3.778	38.168	38.147	998.969	0.926	0.423	-0.014	257	48.000
2023-02-07T03:12:51.583	4.037	37.819	37.483	15814.214	0.289	0.420	-0.064	258	18.000
2023-02-07T03:13:13.045	5.555	37.669	37.821	11743.318	0.465	0.355	0.004	259	30.266
2023-02-07T03:16:17.111	4.448	37.349	37.610	2796.950	0.715	0.428	0.162	260	45.001
2023-02-07T03:19:41.419	3.284	37.574	37.740	31000.000	0.758	0.431	-0.661	261	31.008
2023-02-07T03:20:16.104	3.589	36.865	37.285	0.000	0.632	0.411	0.119	262	28.247
2023-02-07T03:20:56.808	3.659	37.805	38.087	14434.773	0.790	0.419	0.016	263	36.167
2023-02-07T03:21:58.893	3.395	37.657	38.075	31000.000	0.724	0.361	-0.881	264	48.413
2023-02-07T03:22:06.933	3.188	37.202	37.537	0.000	0.493	0.367	0.053	265	7.195
2023-02-07T03:22:57.718	2.936	37.182	37.528	0.000	0.646	0.568	0.333	266	19.325
2023-02-07T11:33:28.056	2.940	37.091	37.716	0.000	0.745	0.432	-0.350	267	26.264
2023-02-07T11:34:07.685	2.530	37.279	37.460	26413.818	0.625	0.351	0.024	268	6.996
2023-02-07T11:34:50.155	3.097	37.687	38.036	10136.614	0.667	0.439	-0.012	269	48.517
2023-02-07T11:36:08.095	3.435	37.299	37.719	31000.000	0.803	0.415	0.264	270	20.710
2023-02-07T11:36:14.795	3.259	37.454	37.670	0.000	0.742	0.267	0.146	271	11.389
2023-02-07T14:50:50.086	2.318	37.271	37.554	0.000	0.684	0.495	0.363	272	17.822
2023-02-07T14:51:35.136	2.817	36.952	37.406	7129.877	0.256	0.463	0.009	273	23.968
2023-02-07T14:52:41.375	3.031	37.257	37.686	31000.000	0.815	0.405	-0.527	274	30.478
2023-02-07T14:53:08.518	2.791	37.208	37.696	0.000	0.576	0.485	0.060	275	6.749
2023-02-07T14:54:21.104	3.165	38.159	38.260	14576.992	0.623	0.492	0.136	276	30.799
